Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Borovnica;Število sob - SKUPAJ;7 oseb ali veè;71
Borovnica;1 soba;Število oseb -SKUPAJ;102
Borovnica;1 soba;1 oseba;51
Borovnica;1 soba;2 osebi;27
Borovnica;1 soba;3 osebe;11
Borovnica;1 soba;4 osebe;8
Borovnica;1 soba;5 oseb;1
Borovnica;1 soba;6 oseb;1
Borovnica;1 soba;7 oseb ali veè;3
Borovnica;2 sobi;Število oseb -SKUPAJ;280
Borovnica;2 sobi;1 oseba;78
Borovnica;2 sobi;2 osebi;73
Borovnica;2 sobi;3 osebe;65
Borovnica;2 sobi;4 osebe;43
Borovnica;2 sobi;5 oseb;16
Borovnica;2 sobi;6 oseb;2
Borovnica;2 sobi;7 oseb ali veè;3
Borovnica;3 sobe;Število oseb -SKUPAJ;255
Borovnica;3 sobe;1 oseba;57
Borovnica;3 sobe;2 osebi;72
Borovnica;3 sobe;3 osebe;47
Borovnica;3 sobe;4 osebe;42
Borovnica;3 sobe;5 oseb;19
Borovnica;3 sobe;6 oseb;10
Borovnica;3 sobe;7 oseb ali veè;8
Borovnica;4 sobe;Število oseb -SKUPAJ;251
Borovnica;4 sobe;1 oseba;24
Borovnica;4 sobe;2 osebi;57
Borovnica;4 sobe;3 osebe;61
Borovnica;4 sobe;4 osebe;55
Borovnica;4 sobe;5 oseb;23
Borovnica;4 sobe;6 oseb;19
Borovnica;4 sobe;7 oseb ali veè;12
Borovnica;5 sob ali veè;Število oseb -SKUPAJ;404
Borovnica;5 sob ali veè;1 oseba;23
Borovnica;5 sob ali veè;2 osebi;47
Borovnica;5 sob ali veè;3 osebe;78
Borovnica;5 sob ali veè;4 osebe;96
Borovnica;5 sob ali veè;5 oseb;68
Borovnica;5 sob ali veè;6 oseb;47
Borovnica;5 sob ali veè;7 oseb ali veè;45
Bovec;Število sob - SKUPAJ;Število oseb -SKUPAJ;1302
Bovec;Število sob - SKUPAJ;1 oseba;491
Bovec;Število sob - SKUPAJ;2 osebi;298
Bovec;Število sob - SKUPAJ;3 osebe;227
Bovec;Število sob - SKUPAJ;4 osebe;153
Bovec;Število sob - SKUPAJ;5 oseb;74
Bovec;Število sob - SKUPAJ;6 oseb;42
Bovec;Število sob - SKUPAJ;7 oseb ali veè;17
Bovec;1 soba;Število oseb -SKUPAJ;123
Bovec;1 soba;1 oseba;80
Bovec;1 soba;2 osebi;25
Bovec;1 soba;3 osebe;10
Bovec;1 soba;4 osebe;6
Bovec;1 soba;5 oseb;1
Bovec;1 soba;6 oseb;0
Bovec;1 soba;7 oseb ali veè;1
Bovec;2 sobi;Število oseb -SKUPAJ;241
Bovec;2 sobi;1 oseba;128
Bovec;2 sobi;2 osebi;43
Bovec;2 sobi;3 osebe;40
Bovec;2 sobi;4 osebe;14
Bovec;2 sobi;5 oseb;9
